Negative,Magnification,,Scan,,Alignment sf of area,Pre-Test Downscaling,,sf,Final sf_L,Final sf_A,1/sf_L,1/sf_A,Special Notice
Name,(nm/nm),(mm/nm),(ppi = pix/in),(pix/mm),det(S) (pix2/pix2),in res,out res,(pix/pix),(pix/nm),(pix2/nm2),(nm/pix),(nm2/pix2),
2hr2307_2,60000,0.06,720,28.34645669,3.908774103,3656,512,0.1400437637,0.470905855,0.2217523243,2.123566716,4.509535597,
2hr2306_1,60000,0.06,720,28.34645669,3.90027926,3656,512,0.1400437637,0.4703938726,0.2212703954,2.125878032,4.519357406,
2312,,,,,3.918053072,,512,,0.4714630123,0.2222787381,2.121070181,4.498966279,
,,,,,,,512,,,,,,
4hr2506_2,60000,0.06,720,28.34645669,4.150138247,5333,512,0.09600600038,0.3326439962,0.1106520282,3.00621689,9.037339992,
4hr2505_1,60000,0.06,720,28.34645669,4.161809913,5333,512,0.09600600038,0.3331114245,0.1109632211,3.00199851,9.011995054,
4hr2507_3,60000,0.06,720,28.34645669,4.162264745,5333,512,0.09600600038,0.3331296264,0.110975348,3.001834484,9.011010267,
2507,,,,,4.158070968,,512,,0.3329616824,0.1108635324,1,9.020115105,
,,,,,,,512,,,,,,
4hr2498_3,60000,0.06,720,28.34645669,4.410412497,5082,512,0.1007477371,0.3598528408,0.129494067,2.77891373,7.722361518,
4hr2497_2,60000,0.06,720,28.34645669,4.362933582,5082,512,0.1007477371,0.3579106581,0.1281000392,2.793993354,7.806398861,
4hr2496_1,60000,0.06,720,28.34645669,4.164177725,5082,512,0.1007477371,0.349663225,0.1222643709,2.859894689,8.178997631,
2495,,,,,4.312507935,,512,,0.355808908,0.1266194924,2.810933924,7.902586003,
,,,,,,,512,,,,,,
4hr2419_3,49000,0.049,720,28.34645669,3.988111667,4294,512,0.1192361435,0.3307397819,0.1093888034,3.023525002,9.14170344,
4hr2417_1,49000,0.049,720,28.34645669,4.211154773,4294,512,0.1192361435,0.3398626054,0.1155065905,2.942365486,8.657514651,
4hr2418_2,49000,0.049,720,28.34645669,3.984787221,4294,512,0.1192361435,0.3306019027,0.1092976181,3.024785979,9.149330221,
2465,,,,,4.06135122,,512,,0.3337347633,0.1113976707,2.996892156,8.982849438,
,,,,,,,512,,,,,,
4hr2443_3,49000,0.049,720,28.34645669,4.149161238,5269,512,0.09717213893,0.2749266108,0.07558464132,3.637334331,13.23020104,train data
4hr2442_2,49000,0.049,720,28.34645669,4.150936624,5269,512,0.09717213893,0.2749854237,0.07561698325,3.636556391,13.22454238,train data
4hr2441_1,49000,0.049,720,28.34645669,4.15261866,5269,512,0.09717213893,0.2750411326,0.07564762465,3.635819815,13.21918573,train data
2443,,,,,4.150905507,,512,,0.274984389,0.07561641641,3.636570179,13.22464305,
,,,,,,,512,,,,,,
4hr2437_3,49000,0.049,720,28.34645669,4.100726576,5234,512,0.09782193351,0.2751449264,0.07570473051,3.634448264,13.20921418,
4hr2435_1,49000,0.049,720,28.34645669,4.029696479,5234,512,0.09782193351,0.2727515771,0.07439342281,3.666339937,13.44204853,
4hr2436_2,49000,0.049,720,28.34645669,4.012389223,5234,512,0.09782193351,0.2721652227,0.07407390842,3.674238723,13.50003019,
2436,,,,,4.047604093,,512,,0.2733539087,0.07472402058,3.658342308,13.3837643,
,,,,,,,512,,,,,,
4hr2433_2,49000,0.049,720,28.34645669,4.134617851,4914,512,0.1041921042,0.2942709263,0.08659537808,3.398229015,11.54796044,
4hr2434_3,49000,0.049,720,28.34645669,4.07499247,4914,512,0.1041921042,0.2921413783,0.08534658494,3.423000212,11.71693045,
4hr2432_1,49000,0.049,720,28.34645669,4.187807873,4914,512,0.1041921042,0.2961577099,0.08770938915,3.376579324,11.40128793,
2434,,,,,4.132472731,,512,,0.2941900049,0.08655045072,3.399269517,11.55539294,
,,,,,,,512,,,,,,
4hr2413_1,60000,0.06,720,28.34645669,3.99719503,5127,512,0.09986346791,0.3395739317,0.1153104551,2.944866807,8.67224051,
,,,,,,,512,,,,,,
4hr2414_1,49000,0.049,720,28.34645669,4.058529718,4796,512,0.1067556297,0.2987239282,0.08923598527,3.347572476,11.20624148,
4hr2415_2,49000,0.049,720,28.34645669,4.033296539,4796,512,0.1067556297,0.2977938491,0.08868117658,3.358027719,11.27635016,
4hr2416_3,49000,0.049,720,28.34645669,4.038041119,4796,512,0.1067556297,0.297968953,0.08878549693,3.356054347,11.26310078,
2414,,,,,4.043289125,,512,,0.2981622434,0.08890088626,3.353884848,11.24856414,
,,,,,,,512,,,,,,
10hr2431,49000,0.049,720,28.34645669,4.619928852,5379,512,0.09518497862,0.2841717621,0.08075359036,3.518998484,12.38335033,
10hr2429,49000,0.049,720,28.34645669,4.563621072,5379,512,0.09518497862,0.2824347076,0.07976936407,3.540641334,12.53614106,
2429,,,,,4.40894635,,512,,0.2833032348,0.08026147721,3.529819909,12.45974569,
,,,,,,,512,,,,,,
10hr2427_2,49000,0.049,720,28.34645669,5.169866539,5846,512,0.08758125214,0.2765958602,0.07650526987,3.615383106,13.070995,train data
10hr2426_1,49000,0.049,720,28.34645669,5.182310337,5846,512,0.08758125214,0.2769285413,0.07668941701,3.611039856,13.03960884,train data
10hr2426_3,49000,0.049,720,28.34645669,5.173941662,5846,512,0.08758125214,0.2767048514,0.07656557479,3.613959043,13.06069997,train data
2426,,,,,5.175372846,,512,,0.2767430843,0.07658675389,3.613460668,13.05710127,
,,,,,,,512,,,,,,
10hr2405_2,49000,0.049,720,28.34645669,4.971759796,5863,512,0.08732730684,0.2704581018,0.07314758485,3.697430372,13.67099135,
10hr2406_3,49000,0.049,720,28.34645669,4.949416601,5863,512,0.08732730684,0.2698496953,0.07281885804,3.705766645,13.73270643,
10hr2404_1,49000,0.049,720,28.34645669,4.933328899,5863,512,0.08732730684,0.2694107754,0.07258216588,3.711804024,13.77748911,
2405,,,,,4.951501765,,512,,0.2699061908,0.07284953625,3.705000347,13.7270623,
,,,,,,,512,,,,,,
10hr2402_3,49000,0.049,720,28.34645669,1.218067614,2778,512,0.1843052556,0.2825324123,0.07982456401,3.539416918,12.52747212,
10hr2401_2,49000,0.049,720,28.34645669,1.250282789,2778,512,0.1843052556,0.2862442068,0.08193574591,3.493520485,12.20468538,
10hr2400_1,49000,0.049,720,28.34645669,1.255741058,2778,512,0.1843052556,0.2868683441,0.08229344686,3.485919658,12.15163586,
2400,,,,,1.24136382,,512,,0.2852149877,0.08135125226,3.506285687,12.29459779,
,,,,,,,512,,,,,,
10hr2159_1,60000,0.06,720,28.34645669,4.10726272,4848,512,0.1056105611,0.364027021,0.132515672,2.747048824,7.546277243,
10hr2160_2,60000,0.06,720,28.34645669,4.127717286,4848,512,0.1056105611,0.3649323402,0.1331756129,2.740233983,7.508882282,
10hr2162_4,60000,0.06,720,28.34645669,4.038786965,4848,512,0.1056105611,0.3609797609,0.1303063878,2.770238413,7.674220864,
10hr2161_3,60000,0.06,720,28.34645669,4.080891629,4848,512,0.1056105611,0.3628565032,0.1316648419,2.75591037,7.595041969,
2159,,,,,4.08866465,,512,,0.3631989063,0.1319156286,2.753357898,7.581105589,
,,,,,,,512,,,,,,
